Location,Latitude,Longitude
 474 Choa Chu Kang,1.3857186,103.7445876
1 Bukit Batok St 25,1.3413063,103.7607784
1 Jurong Lake,1.3459408,103.7253972
1 TENGAH RD,1.3628775,103.7411879
1 Teck Whye Heights,1.3825069,103.7517129
1 Woodlands Road,1.3803602,103.7601304
10 Teck Whye Lane,1.3802102,103.755412
101 Upper Bukit Timah Road,1.3411701,103.7757713
11 Bukit Batok,1.3426976,103.7600079
11 Bukit Batok West Ave 2,1.362331,103.7425142
11 Teck Whye,1.3797394,103.754954
113 Bukit Batok,1.3594342,103.7418643
113 Plantation Cres,1.3533977,103.7351769
113 Teck Whye Lane,1.378023,103.750689
119 Plantation Cres,1.3568733,103.7348952
119 Teck Whye Lane,1.37919,103.7503855
125 Tengah Dr,1.3596688,103.7352974
125 Tengah Drive,1.3596688,103.7352974
127 Pending Rd,1.3765382,103.7693188
127 Plantation Cres - Singapore 692127,1.3577052,103.7341028
131 Cashew Rd,1.3713241,103.767128
131 Choa Chu Kang Ave 1 ,1.3814146,103.7510868
132 Hillview Ave,1.3569398,103.7600842
132 Toh Tuck Road,1.3393234,103.7640898
135 Bukit Batok West Ave 4,1.3634003,103.7471585
137 Teck Whye Lane,1.3799178,103.7527519
137 Teck Whye Lane ,1.3799178,103.7527519
138 Bukit Batok West ,1.3474841,103.742249
141 Teck Whye Lane,1.3803311,103.7527258
145 Bukit Batok West Ave 6,1.3492327,103.744724
145 Jelebu Road,1.378425,103.7646713
146 Bukit Batok West Ave 6,1.3496792,103.7441185
153 Bukit Batok St 11,1.3476975,103.7444517
155 Gangsa Rd,1.3753325,103.7649716
156 Jalan Teck Whye,1.3788305,103.7566145
158 Jln Teck Whye,1.3798463,103.7572286
16 Choa Chu Kang Drive,1.4040732,103.7495957
16 Teck Whye ,1.3785309,103.7550088
16 Teck Whye Ln,1.3785309,103.7550088
161 Jln Teck Whye ,1.3800988,103.7582013
165 Teck Whye Cres,1.3828963,103.7539308
17 Petir Rd,1.3783467,103.7625378
17 Teban Gardens,1.3148609,103.7431556
18 Fir Ave,1.3323942,103.791631
186 Teck Whye,1.3815935,103.7548706
189 Marsiling Grove,1.437059,103.7739556
19 Ghim Moh Road,1.3114329,103.7882794
2 Bukit Batok St 11,1.3494476,103.7420485
2 Bukit Batok West 7,1.36578,103.7485
2 Bukit Panjang Ring Road,1.3777013,103.7726293
2 Hong San Walk,1.377953,103.7472406
2 Jln Remaja,1.3580664,103.7607689
2 Jln Seh Chuan,1.3412479,103.7750006
2 Jurong Gateway,1.3367577,103.7448779
2 Teck Whye Cres,1.3822843,103.7506023
2 Teck Whye Cres ,1.3822843,103.7506023
20 Toh Guan Rd,1.3337875,103.7484241
203 Fajar Rd,1.3812301,103.7720831
205 Petir Road,1.3734374,103.7739656
206 Choa Chu Kang,1.3857186,103.7445876
207 Stagmont Rd,1.383535,103.752873
209 Bukit Batok St 21,1.3454616,103.7488125
21 Bukit Batok West Ave 2,1.3636052,103.7445026
21 Cassia Dr,1.3335842,103.8034269
21 Hillcrest Road,1.3359588,103.8079473
21 Senja Rd,1.3827886,103.7606608
